Age_Group,Gender,Department,Job_Level,Tenure,Work_Arrangement,Employment_Type,Training_Recency,Role_Specific_Training,Self_Rated_Knowledge,Phishing_Score,Phishing_Pass,Password_Change_Freq,MFA_Use,Personal_Device_Use,Report_Suspicious_Email,Admin_Privileges,Security_Culture_Perception,Stress_Level,Time_Pressure,IT_Support_Confidence,Incidents_Caused_Category,Incidents_Raw_Count,Security_Behavior_Tags
35-44,Male,Operations,Intermediate,1-3 yrs,Hybrid,Contractor,> 12 mo,Yes,3,77,Yes,Sometimes,Always,Always,Sometimes,No,4,2,5,2,1,1,"Uses_MFA,Personal_Device_Use"
25-34,Male,Operations,Manager,> 10 yrs,Fully Remote,Permanent,3-6 mo,Yes,4,63,Yes,Always,Always,Rarely,Often,No,4,3,3,4,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Remote_Work"
35-44,Female,Sales,Entry,< 1 yr,On-site,Permanent,3-6 mo,Yes,4,49,No,Sometimes,Always,Never,Often,No,3,4,4,3,1,1,"Uses_MFA,Reports_Phishing"
45-54,Male,IT,Intermediate,1-3 yrs,On-site,Permanent,3-6 mo,Yes,5,75,Yes,Often,Always,Never,Always,No,4,4,4,4,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
45-54,Female,R&D,Entry,< 1 yr,On-site,Permanent,> 12 mo,Yes,3,60,Yes,Often,Always,Sometimes,Sometimes,No,3,5,4,5,0,0,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
55+,Male,Sales,Entry,1-3 yrs,Hybrid,Permanent,> 12 mo,Yes,3,44,No,Sometimes,Always,Never,Sometimes,Yes,4,5,3,4,2-3,2,"Uses_MFA,Admin_Priv"
55+,Male,Operations,Intermediate,3-5 yrs,On-site,Permanent,3-6 mo,Yes,2,44,No,Sometimes,Always,Often,Sometimes,No,4,5,5,4,2-3,2,"Uses_MFA,Personal_Device_Use"
18-24,Female,HR,Intermediate,1-3 yrs,On-site,Permanent,6-12 mo,Yes,3,54,No,Sometimes,Never,Always,Always,Yes,4,3,3,4,1,1,"Reports_Phishing,Personal_Device_Use,Admin_Priv"
35-44,Male,R&D,Entry,1-3 yrs,On-site,Permanent,3-6 mo,Yes,3,100,Yes,Always,Always,Rarely,Always,No,3,3,3,2,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing"
25-34,Female,IT,Intermediate,1-3 yrs,Hybrid,Permanent,> 12 mo,No,5,50,No,Never,Always,Never,Always,No,3,4,4,1,1,1,"Uses_MFA,Reports_Phishing"
18-24,Male,Sales,Intermediate,< 1 yr,Fully Remote,Permanent,3-6 mo,Yes,4,43,No,Always,Always,Sometimes,Never,Yes,2,4,4,5,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use,Remote_Work,Admin_Priv"
25-34,Female,Finance,Director,5-10 yrs,On-site,Permanent,< 3 months,Yes,4,89,Yes,Often,Sometimes,Often,Sometimes,No,4,3,3,2,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
25-34,Male,Finance,Director,5-10 yrs,Hybrid,Permanent,< 3 months,No,4,100,Yes,Rarely,Always,Never,Sometimes,No,5,4,3,4,0,0,Uses_MFA
25-34,Male,IT,Entry,1-3 yrs,Hybrid,Permanent,< 3 months,Yes,4,100,Yes,Always,Always,Often,Often,No,4,3,3,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
55+,Female,Finance,Entry,< 1 yr,On-site,Permanent,3-6 mo,Yes,3,82,Yes,Sometimes,Always,Sometimes,Always,No,3,2,2,1,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
45-54,Male,Sales,Manager,3-5 yrs,Hybrid,Permanent,> 12 mo,Yes,2,59,No,Always,Always,Sometimes,Often,No,4,3,3,4,2-3,3,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Male,Finance,Manager,3-5 yrs,On-site,Contractor,3-6 mo,No,3,67,Yes,Rarely,Always,Often,Often,No,1,1,3,3,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Female,Sales,Manager,> 10 yrs,Hybrid,Permanent,3-6 mo,Yes,5,50,No,Sometimes,Sometimes,Sometimes,Sometimes,No,4,4,1,5,>3,4,"Uses_MFA,Personal_Device_Use"
25-34,Male,Finance,Entry,3-5 yrs,On-site,Permanent,3-6 mo,Yes,3,80,Yes,Sometimes,Sometimes,Sometimes,Rarely,No,4,4,4,5,2-3,2,"Uses_MFA,Personal_Device_Use"
18-24,Male,Marketing,Manager,3-5 yrs,On-site,Permanent,Never,Yes,3,60,Yes,Often,Sometimes,Sometimes,Always,No,3,1,4,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Male,Operations,Entry,1-3 yrs,On-site,Permanent,> 12 mo,Yes,3,90,Yes,Never,Always,Never,Rarely,No,3,3,3,5,0,0,Uses_MFA
35-44,Female,R&D,Entry,3-5 yrs,Hybrid,Permanent,6-12 mo,Yes,3,42,No,Sometimes,Always,Never,Always,No,4,3,3,4,0,0,"Uses_MFA,Reports_Phishing"
25-34,Female,IT,Entry,< 1 yr,Fully Remote,Permanent,< 3 months,Yes,3,77,Yes,Sometimes,Sometimes,Sometimes,Often,No,3,1,4,5,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
45-54,Female,R&D,Entry,5-10 yrs,On-site,Permanent,< 3 months,Yes,4,73,Yes,Always,Sometimes,Always,Rarely,No,5,2,5,1,0,0,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
35-44,Female,Finance,Intermediate,1-3 yrs,On-site,Permanent,3-6 mo,Yes,3,62,Yes,Never,Sometimes,Never,Always,No,4,4,4,4,1,1,"Uses_MFA,Reports_Phishing"
35-44,Male,R&D,Intermediate,3-5 yrs,Fully Remote,Permanent,> 12 mo,Yes,3,49,No,Never,Always,Never,Rarely,No,2,1,3,2,1,1,"Uses_MFA,Remote_Work"
25-34,Female,IT,Entry,3-5 yrs,On-site,Permanent,> 12 mo,No,3,29,No,Often,Always,Never,Often,No,4,3,4,1,2-3,2,"Uses_MFA,Early_Password_Change,Reports_Phishing"
18-24,Female,IT,Manager,3-5 yrs,On-site,Permanent,< 3 months,No,4,71,Yes,Often,Always,Often,Rarely,No,2,4,2,2,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
35-44,Female,Other,Intermediate,3-5 yrs,Hybrid,Permanent,< 3 months,No,3,46,No,Sometimes,Sometimes,Always,Often,No,2,4,4,3,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
45-54,Male,Marketing,Executive,> 10 yrs,On-site,Permanent,3-6 mo,No,4,42,No,Never,Always,Rarely,Sometimes,No,4,4,4,3,2-3,3,Uses_MFA
18-24,Male,Finance,Intermediate,5-10 yrs,Hybrid,Permanent,3-6 mo,No,3,60,Yes,Rarely,Sometimes,Always,Often,No,3,3,1,3,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
35-44,Male,Marketing,Manager,1-3 yrs,Hybrid,Permanent,6-12 mo,No,3,68,Yes,Always,Always,Sometimes,Often,No,4,3,3,4,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Female,Finance,Executive,> 10 yrs,Hybrid,Permanent,< 3 months,Yes,4,100,Yes,Sometimes,Always,Sometimes,Always,No,4,3,5,5,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Male,Marketing,Intermediate,3-5 yrs,Fully Remote,Permanent,3-6 mo,No,1,52,No,Sometimes,Never,Often,Sometimes,No,4,5,3,3,2-3,3,"Personal_Device_Use,Remote_Work"
25-34,Male,Finance,Intermediate,3-5 yrs,Hybrid,Permanent,Never,No,5,49,No,Always,Always,Rarely,Rarely,No,1,4,5,4,1,1,"Uses_MFA,Early_Password_Change"
45-54,Male,Operations,Manager,< 1 yr,Fully Remote,Permanent,< 3 months,No,4,66,Yes,Often,Always,Rarely,Never,Yes,5,3,4,4,0,0,"Uses_MFA,Early_Password_Change,Remote_Work,Admin_Priv"
25-34,Male,R&D,Director,3-5 yrs,Fully Remote,Permanent,> 12 mo,No,5,56,No,Sometimes,Sometimes,Often,Often,No,3,5,5,4,>3,7,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
18-24,Male,Operations,Entry,< 1 yr,Hybrid,Permanent,3-6 mo,Yes,3,66,Yes,Often,Always,Never,Always,No,4,3,3,1,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
45-54,Female,Sales,Intermediate,5-10 yrs,On-site,Permanent,3-6 mo,Yes,4,76,Yes,Often,Always,Rarely,Always,No,4,3,3,5,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
25-34,Female,Other,Entry,< 1 yr,Fully Remote,Permanent,3-6 mo,No,3,88,Yes,Sometimes,Always,Rarely,Often,No,5,3,3,5,0,0,"Uses_MFA,Reports_Phishing,Remote_Work"
35-44,Female,IT,Intermediate,5-10 yrs,Hybrid,Permanent,6-12 mo,Yes,3,75,Yes,Always,Never,Sometimes,Always,No,1,3,3,4,0,0,"Early_Password_Change,Reports_Phishing,Personal_Device_Use"
45-54,Male,Finance,Intermediate,3-5 yrs,Fully Remote,Permanent,3-6 mo,Yes,1,58,No,Often,Always,Rarely,Always,No,4,4,3,1,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Remote_Work"
45-54,Female,IT,Manager,5-10 yrs,Hybrid,Permanent,> 12 mo,Yes,3,61,Yes,Always,Always,Always,Often,No,4,3,4,3,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Female,Sales,Manager,5-10 yrs,On-site,Permanent,< 3 months,No,4,80,Yes,Sometimes,Sometimes,Sometimes,Often,No,4,2,5,3,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
55+,Female,Other,Intermediate,1-3 yrs,Hybrid,Contractor,6-12 mo,Yes,3,61,Yes,Often,Always,Rarely,Sometimes,No,3,3,5,4,0,0,"Uses_MFA,Early_Password_Change"
35-44,Female,Marketing,Entry,< 1 yr,Fully Remote,Contractor,3-6 mo,Yes,4,88,Yes,Sometimes,Always,Sometimes,Sometimes,Yes,4,3,3,3,1,1,"Uses_MFA,Personal_Device_Use,Remote_Work,Admin_Priv"
25-34,Male,Operations,Director,5-10 yrs,On-site,Permanent,< 3 months,Yes,4,81,Yes,Always,Always,Often,Always,No,3,3,2,4,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
35-44,Male,Sales,Manager,> 10 yrs,On-site,Permanent,> 12 mo,Yes,3,52,No,Rarely,Never,Always,Always,No,4,3,5,4,2-3,2,"Reports_Phishing,Personal_Device_Use"
35-44,Male,Finance,Manager,3-5 yrs,On-site,Permanent,3-6 mo,Yes,1,51,No,Sometimes,Always,Always,Always,No,3,3,1,1,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Male,IT,Entry,< 1 yr,Fully Remote,Permanent,< 3 months,Yes,3,57,No,Sometimes,Always,Sometimes,Often,No,3,2,5,3,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
25-34,Male,Marketing,Entry,5-10 yrs,Fully Remote,Permanent,3-6 mo,No,3,71,Yes,Sometimes,Always,Rarely,Often,No,4,3,4,5,2-3,2,"Uses_MFA,Reports_Phishing,Remote_Work"
25-34,Male,IT,Director,3-5 yrs,On-site,Permanent,< 3 months,No,5,81,Yes,Rarely,Always,Never,Always,No,3,5,5,3,0,0,"Uses_MFA,Reports_Phishing"
25-34,Male,Operations,Director,1-3 yrs,Hybrid,Permanent,3-6 mo,Yes,4,74,Yes,Rarely,Sometimes,Always,Often,No,1,5,5,5,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Female,Marketing,Entry,< 1 yr,On-site,Permanent,6-12 mo,Yes,2,95,Yes,Sometimes,Always,Often,Often,No,5,2,4,4,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
35-44,Male,Operations,Intermediate,5-10 yrs,On-site,Contractor,> 12 mo,Yes,3,22,No,Sometimes,Never,Sometimes,Rarely,No,3,3,4,3,>3,5,Personal_Device_Use
25-34,Female,Sales,Executive,> 10 yrs,Fully Remote,Permanent,> 12 mo,No,3,69,Yes,Often,Sometimes,Never,Sometimes,No,4,5,3,3,2-3,3,"Uses_MFA,Early_Password_Change,Remote_Work"
35-44,Female,HR,Entry,1-3 yrs,On-site,Permanent,> 12 mo,No,3,63,Yes,Often,Always,Sometimes,Sometimes,Yes,2,2,3,1,>3,16,"Uses_MFA,Early_Password_Change,Personal_Device_Use,Admin_Priv"
45-54,Male,IT,Intermediate,5-10 yrs,Hybrid,Permanent,< 3 months,Yes,4,60,Yes,Often,Always,Often,Always,Yes,3,2,4,4,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use,Admin_Priv"
18-24,Female,IT,Manager,> 10 yrs,On-site,Permanent,6-12 mo,No,4,67,Yes,Sometimes,Always,Sometimes,Often,No,2,5,2,3,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
45-54,Male,Operations,Intermediate,1-3 yrs,On-site,Permanent,6-12 mo,Yes,3,75,Yes,Sometimes,Always,Always,Always,No,4,5,5,4,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
45-54,Female,Finance,Director,5-10 yrs,Hybrid,Permanent,6-12 mo,Yes,4,58,No,Sometimes,Sometimes,Always,Rarely,No,4,3,1,2,1,1,"Uses_MFA,Personal_Device_Use"
45-54,Female,HR,Manager,5-10 yrs,Fully Remote,Permanent,3-6 mo,Yes,2,46,No,Never,Sometimes,Rarely,Sometimes,No,3,5,3,4,2-3,2,"Uses_MFA,Remote_Work"
18-24,Male,IT,Manager,< 1 yr,On-site,Permanent,6-12 mo,Yes,5,77,Yes,Rarely,Always,Sometimes,Never,No,2,2,4,5,1,1,"Uses_MFA,Personal_Device_Use"
35-44,Female,Sales,Intermediate,< 1 yr,On-site,Permanent,> 12 mo,Yes,2,77,Yes,Always,Always,Rarely,Never,No,3,3,3,4,1,1,"Uses_MFA,Early_Password_Change"
55+,Male,HR,Manager,3-5 yrs,On-site,Permanent,6-12 mo,No,4,100,Yes,Often,Always,Sometimes,Never,No,3,2,5,5,2-3,3,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
35-44,Male,Operations,Director,> 10 yrs,Hybrid,Contractor,3-6 mo,Yes,1,67,Yes,Always,Always,Never,Always,No,4,4,5,3,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing"
35-44,Male,Marketing,Director,5-10 yrs,Fully Remote,Permanent,< 3 months,Yes,3,67,Yes,Sometimes,Always,Rarely,Always,No,1,5,4,5,0,0,"Uses_MFA,Reports_Phishing,Remote_Work"
35-44,Male,Sales,Director,1-3 yrs,On-site,Permanent,> 12 mo,Yes,4,34,No,Often,Never,Never,Always,Yes,1,5,3,3,2-3,2,"Early_Password_Change,Reports_Phishing,Admin_Priv"
45-54,Female,IT,Entry,1-3 yrs,Hybrid,Contractor,3-6 mo,No,3,50,No,Sometimes,Always,Rarely,Rarely,No,5,2,4,3,1,1,Uses_MFA
25-34,Female,IT,Intermediate,3-5 yrs,Hybrid,Permanent,< 3 months,Yes,4,93,Yes,Often,Always,Always,Often,No,3,5,2,3,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Female,Marketing,Manager,> 10 yrs,On-site,Permanent,3-6 mo,No,4,63,Yes,Sometimes,Always,Rarely,Often,No,3,5,3,4,2-3,2,"Uses_MFA,Reports_Phishing"
25-34,Male,HR,Entry,< 1 yr,On-site,Permanent,6-12 mo,Yes,3,42,No,Sometimes,Always,Rarely,Often,No,4,5,5,3,1,1,"Uses_MFA,Reports_Phishing"
25-34,Female,IT,Manager,3-5 yrs,Hybrid,Permanent,Never,Yes,3,38,No,Always,Always,Rarely,Always,No,5,3,3,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
18-24,Male,Finance,Entry,1-3 yrs,On-site,Intern,Never,No,5,54,No,Often,Always,Often,Sometimes,No,1,3,3,2,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
18-24,Male,R&D,Intermediate,1-3 yrs,Hybrid,Contractor,3-6 mo,Yes,2,49,No,Sometimes,Always,Rarely,Often,No,5,4,4,3,1,1,"Uses_MFA,Reports_Phishing"
18-24,Male,R&D,Manager,3-5 yrs,On-site,Permanent,3-6 mo,Yes,3,75,Yes,Sometimes,Sometimes,Never,Often,No,4,4,4,4,1,1,"Uses_MFA,Reports_Phishing"
35-44,Female,Operations,Entry,> 10 yrs,On-site,Permanent,< 3 months,Yes,5,84,Yes,Often,Always,Rarely,Always,Yes,4,1,3,3,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Admin_Priv"
25-34,Female,HR,Entry,< 1 yr,Fully Remote,Contractor,< 3 months,Yes,4,56,No,Always,Never,Rarely,Sometimes,No,3,3,5,3,0,0,"Early_Password_Change,Remote_Work"
35-44,Female,Marketing,Intermediate,5-10 yrs,Hybrid,Permanent,> 12 mo,Yes,4,49,No,Always,Always,Often,Sometimes,No,5,4,3,3,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
18-24,Male,Finance,Intermediate,3-5 yrs,Fully Remote,Contractor,< 3 months,Yes,3,33,No,Sometimes,Never,Never,Sometimes,No,5,3,3,1,2-3,2,Remote_Work
35-44,Female,Operations,Director,5-10 yrs,On-site,Permanent,< 3 months,No,2,65,Yes,Always,Always,Often,Sometimes,No,3,4,4,4,0,0,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
45-54,Male,IT,Entry,1-3 yrs,Fully Remote,Permanent,3-6 mo,Yes,1,61,Yes,Rarely,Always,Often,Always,No,4,3,4,3,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
45-54,Female,Sales,Intermediate,5-10 yrs,On-site,Contractor,6-12 mo,Yes,5,44,No,Always,Sometimes,Often,Rarely,No,4,3,4,2,2-3,2,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
25-34,Female,Sales,Entry,3-5 yrs,Hybrid,Permanent,3-6 mo,No,3,58,No,Sometimes,Sometimes,Sometimes,Always,No,4,5,4,5,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
35-44,Male,HR,Manager,5-10 yrs,Fully Remote,Permanent,< 3 months,Yes,5,90,Yes,Sometimes,Always,Sometimes,Always,No,5,4,4,5,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
35-44,Male,IT,Entry,< 1 yr,Fully Remote,Contractor,3-6 mo,Yes,1,67,Yes,Always,Always,Rarely,Never,No,3,2,3,1,2-3,2,"Uses_MFA,Early_Password_Change,Remote_Work"
45-54,Female,IT,Entry,1-3 yrs,On-site,Intern,Never,No,3,50,No,Sometimes,Never,Rarely,Often,No,3,5,4,5,2-3,2,Reports_Phishing
25-34,Male,Operations,Intermediate,3-5 yrs,On-site,Permanent,> 12 mo,No,4,34,No,Often,Always,Always,Often,No,3,5,2,5,2-3,2,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Female,IT,Intermediate,3-5 yrs,Hybrid,Permanent,< 3 months,Yes,4,53,No,Sometimes,Sometimes,Never,Often,No,4,4,4,4,0,0,"Uses_MFA,Reports_Phishing"
18-24,Male,Other,Manager,5-10 yrs,Fully Remote,Contractor,3-6 mo,Yes,4,68,Yes,Sometimes,Never,Always,Never,No,4,4,3,1,2-3,3,"Personal_Device_Use,Remote_Work"
45-54,Female,HR,Entry,3-5 yrs,Hybrid,Permanent,< 3 months,No,4,100,Yes,Always,Always,Rarely,Often,No,4,3,1,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
25-34,Female,IT,Executive,5-10 yrs,Hybrid,Permanent,Never,No,4,67,Yes,Sometimes,Always,Always,Rarely,No,3,4,4,3,0,0,"Uses_MFA,Personal_Device_Use"
45-54,Female,R&D,Entry,< 1 yr,On-site,Permanent,6-12 mo,Yes,5,60,Yes,Never,Always,Sometimes,Always,No,3,5,3,4,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
45-54,Female,Sales,Executive,> 10 yrs,On-site,Permanent,3-6 mo,No,4,81,Yes,Sometimes,Always,Sometimes,Rarely,No,2,3,4,3,0,0,"Uses_MFA,Personal_Device_Use"
45-54,Male,Sales,Director,5-10 yrs,On-site,Permanent,< 3 months,No,2,67,Yes,Often,Always,Rarely,Always,No,5,4,4,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
25-34,Female,Operations,Entry,1-3 yrs,Hybrid,Permanent,3-6 mo,Yes,4,77,Yes,Rarely,Always,Never,Always,No,3,3,4,4,0,0,"Uses_MFA,Reports_Phishing"
45-54,Female,HR,Entry,< 1 yr,On-site,Permanent,< 3 months,No,3,95,Yes,Often,Always,Never,Always,No,2,2,4,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
18-24,Female,Marketing,Director,> 10 yrs,Hybrid,Permanent,6-12 mo,No,3,68,Yes,Often,Always,Sometimes,Always,No,3,2,4,5,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
45-54,Non-binary,IT,Manager,3-5 yrs,On-site,Permanent,3-6 mo,Yes,4,75,Yes,Often,Always,Rarely,Always,Yes,2,5,4,5,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Admin_Priv"
35-44,Male,Operations,Manager,5-10 yrs,Hybrid,Permanent,3-6 mo,Yes,3,81,Yes,Often,Always,Always,Often,No,4,5,3,4,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Female,IT,Intermediate,1-3 yrs,On-site,Permanent,< 3 months,No,4,73,Yes,Never,Always,Never,Rarely,Yes,3,4,4,4,1,1,"Uses_MFA,Admin_Priv"
25-34,Male,Operations,Manager,3-5 yrs,On-site,Permanent,3-6 mo,Yes,1,38,No,Always,Always,Always,Always,No,4,4,5,4,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
18-24,Male,Sales,Manager,> 10 yrs,Hybrid,Permanent,> 12 mo,Yes,4,59,No,Rarely,Sometimes,Often,Rarely,Yes,5,5,4,3,2-3,3,"Uses_MFA,Personal_Device_Use,Admin_Priv"
18-24,Male,Operations,Entry,< 1 yr,Hybrid,Permanent,< 3 months,No,5,31,No,Sometimes,Always,Rarely,Always,No,4,4,3,4,2-3,2,"Uses_MFA,Reports_Phishing"
45-54,Female,Sales,Intermediate,1-3 yrs,On-site,Permanent,3-6 mo,No,3,62,Yes,Always,Never,Often,Always,No,4,2,5,3,2-3,2,"Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Prefer not to say,Finance,Entry,< 1 yr,Fully Remote,Permanent,< 3 months,Yes,5,99,Yes,Rarely,Sometimes,Rarely,Always,No,3,2,3,3,1,1,"Uses_MFA,Reports_Phishing,Remote_Work"
35-44,Female,R&D,Intermediate,3-5 yrs,On-site,Contractor,> 12 mo,No,4,55,No,Often,Always,Never,Sometimes,No,3,4,5,3,1,1,"Uses_MFA,Early_Password_Change"
25-34,Female,Sales,Manager,< 1 yr,On-site,Permanent,3-6 mo,No,3,73,Yes,Always,Always,Never,Sometimes,No,3,4,3,5,0,0,"Uses_MFA,Early_Password_Change"
35-44,Female,Operations,Director,> 10 yrs,Fully Remote,Permanent,3-6 mo,Yes,4,67,Yes,Always,Always,Sometimes,Sometimes,No,4,3,3,3,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use,Remote_Work"
35-44,Male,Finance,Manager,5-10 yrs,Hybrid,Permanent,3-6 mo,Yes,2,43,No,Often,Always,Sometimes,Often,Yes,4,3,4,1,2-3,2,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use,Admin_Priv"
35-44,Female,Sales,Intermediate,> 10 yrs,Fully Remote,Permanent,6-12 mo,Yes,1,40,No,Sometimes,Always,Never,Often,No,5,4,3,2,2-3,2,"Uses_MFA,Reports_Phishing,Remote_Work"
55+,Female,Other,Intermediate,5-10 yrs,On-site,Contractor,< 3 months,No,3,87,Yes,Rarely,Always,Often,Sometimes,No,5,4,3,5,0,0,"Uses_MFA,Personal_Device_Use"
35-44,Female,Sales,Intermediate,1-3 yrs,On-site,Permanent,< 3 months,No,4,76,Yes,Always,Sometimes,Often,Always,No,4,3,4,3,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
35-44,Female,Marketing,Entry,1-3 yrs,Hybrid,Permanent,Never,Yes,2,40,No,Never,Always,Sometimes,Often,No,3,4,1,4,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
55+,Female,Finance,Intermediate,1-3 yrs,Fully Remote,Permanent,6-12 mo,No,4,86,Yes,Often,Always,Sometimes,Often,Yes,3,4,4,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use,Remote_Work,Admin_Priv"
25-34,Male,Marketing,Entry,3-5 yrs,On-site,Permanent,> 12 mo,Yes,3,62,Yes,Rarely,Sometimes,Sometimes,Often,No,3,4,1,3,2-3,2,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
18-24,Male,R&D,Executive,> 10 yrs,Hybrid,Permanent,3-6 mo,Yes,4,63,Yes,Sometimes,Always,Sometimes,Sometimes,No,3,3,3,2,1,1,"Uses_MFA,Personal_Device_Use"
25-34,Female,R&D,Manager,3-5 yrs,Fully Remote,Permanent,3-6 mo,Yes,4,22,No,Often,Never,Sometimes,Never,No,3,3,5,3,>3,4,"Early_Password_Change,Personal_Device_Use,Remote_Work"
25-34,Male,Other,Entry,< 1 yr,On-site,Permanent,< 3 months,Yes,4,39,No,Rarely,Always,Rarely,Always,No,2,3,4,2,0,0,"Uses_MFA,Reports_Phishing"
25-34,Male,Operations,Entry,1-3 yrs,On-site,Permanent,< 3 months,Yes,3,61,Yes,Often,Sometimes,Often,Always,No,2,4,1,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Male,IT,Executive,> 10 yrs,On-site,Permanent,3-6 mo,Yes,2,59,No,Sometimes,Sometimes,Sometimes,Sometimes,No,3,2,3,3,2-3,3,"Uses_MFA,Personal_Device_Use"
25-34,Male,Marketing,Director,> 10 yrs,On-site,Permanent,3-6 mo,No,3,28,No,Sometimes,Always,Always,Often,Yes,3,5,4,4,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Admin_Priv"
35-44,Male,Sales,Executive,> 10 yrs,Fully Remote,Permanent,6-12 mo,No,4,47,No,Sometimes,Always,Often,Always,No,3,4,4,3,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
35-44,Female,R&D,Entry,1-3 yrs,Hybrid,Permanent,> 12 mo,No,4,77,Yes,Always,Always,Sometimes,Always,No,3,4,5,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Male,IT,Entry,< 1 yr,Hybrid,Contractor,< 3 months,No,5,53,No,Often,Always,Rarely,Often,No,3,4,4,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
25-34,Male,IT,Manager,> 10 yrs,On-site,Permanent,6-12 mo,Yes,3,76,Yes,Never,Always,Sometimes,Never,No,3,3,3,5,2-3,2,"Uses_MFA,Personal_Device_Use"
25-34,Female,Marketing,Manager,3-5 yrs,Hybrid,Permanent,3-6 mo,Yes,3,95,Yes,Often,Sometimes,Always,Always,No,4,2,4,5,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
